,user_id,app_id,rating
0,1,538,1
1,1,137,1
2,1,3,5
3,1,0,2
4,1,4,4
5,1,2,4
6,1,18,5
7,1,2554,5
8,1,89,4
9,1,16,5
10,1,1,5
0,2,2441,5
1,2,0,1
2,2,1578,5
3,2,259,4
4,2,2210,2
5,2,807,2
6,2,74,5
7,2,3413,4
8,2,36,5
9,2,228,2
10,2,25,4
11,2,676,5
0,3,0,4
1,3,2049,3
2,3,5,5
3,3,852,4
4,3,2135,4
5,3,111,4
6,3,18,5
7,3,19,3
8,3,1938,2
9,3,3573,4
10,3,32,4
11,3,60,5
0,4,0,3
1,4,128,2
2,4,3680,3
3,4,1312,5
4,4,2260,4
5,4,2734,4
6,4,840,3
7,4,10,5
8,4,13,4
9,4,209,2
10,4,3,5
0,5,0,2
1,5,869,5
2,5,113,5
3,5,1,5
4,5,4,5
5,5,196,3
6,5,1792,4
0,6,202,2
1,6,0,2
2,6,261,3
0,7,182,1
1,7,0,5
2,7,1,3
3,7,4498,5
4,7,214,2
5,7,15,3
6,7,78,4
7,7,408,2
8,7,2,4
9,7,316,2
10,7,55,5
11,7,3,4
12,7,3772,3
13,7,23,3
14,7,669,3
15,7,580,4
16,7,27,3
17,7,25,3
18,7,1331,5
0,8,1281,4
1,8,0,1
2,8,1,3
3,8,136,5
4,8,21,3
5,8,543,4
6,8,414,2
7,8,2442,4
8,8,493,4
0,9,15,4
1,9,0,3
2,9,1984,4
0,10,0,1
1,10,2,2
2,10,108,5
3,10,10,5
4,10,68,3
5,10,874,3
6,10,3,3
7,10,1465,2
8,10,11,2
0,11,405,3
1,11,0,2
2,11,19,2
3,11,119,4
4,11,242,4
5,11,12,4
6,11,151,5
7,11,36,5
8,11,18,4
9,11,577,4
10,11,1,5
11,11,41,1
12,11,142,4
13,11,1329,4
14,11,592,3
15,11,1284,3
16,11,1336,3
17,11,554,3
18,11,11,5
0,12,0,3
1,12,2602,3
2,12,827,1
3,12,88,1
4,12,1,4
5,12,709,3
6,12,17,4
7,12,283,3
8,12,1180,4
9,12,14,2
10,12,1211,2
11,12,650,5
12,12,188,3
13,12,95,1
14,12,719,3
15,12,266,2
16,12,21,1
17,12,1850,2
18,12,4576,1
0,13,0,1
1,13,3,5
2,13,651,2
3,13,287,4
4,13,966,5
5,13,158,5
6,13,102,5
7,13,1607,5
8,13,37,4
9,13,5,2
10,13,2504,4
11,13,524,2
12,13,16,5
13,13,2788,4
14,13,161,3
15,13,551,3
0,14,739,4
1,14,0,4
2,14,14,3
3,14,78,5
4,14,1905,4
5,14,170,3
6,14,1853,5
7,14,20,5
8,14,2335,5
9,14,699,3
10,14,4486,2
11,14,2,5
12,14,4,2
13,14,139,3
14,14,58,1
15,14,99,4
16,14,155,4
17,14,298,3
18,14,1829,3
0,15,0,5
1,15,2,5
2,15,239,2
3,15,474,4
4,15,167,2
5,15,3,5
6,15,3586,5
7,15,505,2
8,15,253,5
9,15,86,2
10,15,286,5
11,15,12,5
0,16,222,5
1,16,1759,5
2,16,1,5
3,16,0,4
0,17,0,5
1,17,2534,2
2,17,74,3
0,18,11,4
1,18,1117,2
2,18,122,3
3,18,1709,2
4,18,84,2
5,18,234,4
6,18,0,3
7,18,99,2
8,18,3,3
9,18,1191,5
10,18,793,5
11,18,511,2
12,18,1,2
13,18,498,3
14,18,4300,3
15,18,4134,2
16,18,825,2
17,18,1284,5
18,18,330,5
0,19,4331,4
1,19,125,1
2,19,21,2
3,19,2872,2
4,19,0,5
5,19,886,5
6,19,19,2
7,19,3328,2
8,19,4284,3
9,19,18,1
10,19,185,1
11,19,3,3
0,20,4043,4
1,20,205,5
2,20,2288,3
3,20,0,3
4,20,16,3
5,20,770,5
6,20,22,3
7,20,46,4
8,20,3,3
9,20,967,2
10,20,19,5
11,20,20,2
0,21,0,4
1,21,1234,5
2,21,4265,2
3,21,5,2
4,21,2264,5
5,21,14,2
6,21,4511,3
7,21,7,4
8,21,1995,4
9,21,1,3
10,21,9,4
11,21,433,3
12,21,11,5
13,21,2,4
14,21,128,5
15,21,3,3
0,22,1200,5
1,22,106,4
2,22,0,4
3,22,42,5
4,22,23,2
5,22,1034,5
6,22,1097,5
7,22,291,4
8,22,2193,5
0,23,2,5
1,23,295,3
2,23,0,5
3,23,1601,1
4,23,622,3
5,23,1,2
6,23,30,5
7,23,4019,1
8,23,13,5
9,23,1085,3
10,23,74,3
11,23,2870,3
12,23,4795,3
13,23,646,2
0,24,1339,3
1,24,0,3
2,24,207,5
3,24,218,5
4,24,18,4
5,24,20,1
0,25,0,4
1,25,1,5
2,25,125,1
3,25,906,5
4,25,36,5
5,25,2,2
6,25,24,5
7,25,26,3
8,25,28,3
9,25,4249,5
10,25,8,5
11,25,61,2
12,25,3636,5
13,25,433,4
0,26,6,2
1,26,11,5
2,26,669,4
3,26,2337,2
4,26,49,5
