,user_id,app_id,rating
0,1,4079,3
1,1,0,3
2,1,384,3
3,1,36,2
4,1,7,1
5,1,821,1
6,1,50,5
7,1,10,1
0,2,0,3
1,2,1155,2
2,2,211,5
3,2,1,2
4,2,480,3
5,2,631,2
6,2,15,2
7,2,2,5
8,2,700,1
9,2,4,3
10,2,179,1
11,2,208,3
0,3,264,5
1,3,0,1
2,3,114,1
3,3,18,1
4,3,78,4
5,3,1,2
6,3,3,1
7,3,167,1
8,3,43,5
9,3,23,1
10,3,6,1
11,3,13,4
0,4,0,3
1,4,3839,3
2,4,326,4
3,4,2333,3
4,4,34,2
5,4,1973,5
6,4,94,5
7,4,48,2
0,5,0,1
1,5,1921,4
2,5,2,4
3,5,691,3
4,5,4217,1
5,5,95,3
6,5,3,2
7,5,4,2
8,5,5,2
9,5,60,2
10,5,324,1
11,5,32,3
12,5,333,1
0,6,13,1
1,6,458,1
2,6,0,5
3,6,4222,2
4,6,8,2
5,6,587,2
6,6,9,5
7,6,1777,5
8,6,49,5
9,6,1,4
10,6,1961,2
11,6,2480,4
12,6,2495,4
13,6,4443,1
0,7,401,1
1,7,258,1
2,7,0,1
3,7,1766,4
4,7,6,4
5,7,1069,3
6,7,1,3
7,7,250,2
8,7,311,4
9,7,1023,2
10,7,164,5
11,7,2,2
12,7,1541,4
13,7,5,3
14,7,2210,4
15,7,465,2
0,8,0,1
1,8,87,2
2,8,785,4
3,8,730,1
4,8,7,2
5,8,24,3
6,8,75,3
7,8,2,1
8,8,2676,3
9,8,5,1
10,8,383,1
11,8,4614,3
12,8,12,5
13,8,14,1
14,8,3375,4
15,8,967,4
16,8,2166,4
17,8,80,3
0,9,0,5
1,9,1264,3
2,9,4480,5
0,10,0,5
1,10,838,4
2,10,9,2
3,10,29,3
4,10,167,2
5,10,69,5
6,10,567,4
7,10,2675,4
8,10,36,3
9,10,20,5
10,10,1997,1
11,10,307,1
12,10,103,3
13,10,183,5
14,10,2,1
15,10,3537,4
0,11,995,4
1,11,501,4
2,11,8,5
3,11,0,5
4,11,2,5
5,11,164,4
6,11,527,3
7,11,1580,4
8,11,50,2
9,11,4767,2
10,11,25,2
11,11,3682,3
12,11,66,3
13,11,7,3
14,11,107,3
0,12,694,4
1,12,0,4
2,12,86,3
3,12,4612,2
4,12,4494,1
5,12,1,4
6,12,5,3
7,12,2570,2
8,12,297,2
9,12,218,2
10,12,713,4
11,12,3,2
12,12,15,5
13,12,6,4
14,12,9,5
15,12,48,4
16,12,1182,5
0,13,1936,4
1,13,1940,3
2,13,38,3
3,13,233,2
4,13,1614,2
5,13,3410,4
6,13,2981,4
7,13,309,2
8,13,2,4
9,13,0,1
10,13,28,5
0,14,983,4
1,14,0,5
2,14,1086,2
3,14,563,5
4,14,33,4
5,14,1031,2
6,14,75,4
7,14,192,1
8,14,72,2
9,14,978,4
10,14,47,5
11,14,968,2
12,14,3,5
13,14,1255,4
14,14,78,4
15,14,2035,3
0,15,14,4
1,15,180,4
2,15,237,1
3,15,15,2
4,15,0,5
5,15,152,3
6,15,1,2
7,15,135,3
8,15,822,2
9,15,42,3
10,15,124,3
11,15,53,2
12,15,196,5
13,15,70,2
14,15,2865,1
15,15,4510,1
16,15,668,1
0,16,2628,3
1,16,138,2
2,16,0,5
3,16,2,1
4,16,1568,5
0,17,3,1
1,17,3015,1
2,17,0,3
3,17,2851,2
4,17,9,2
5,17,1,2
6,17,1577,2
7,17,1026,2
8,17,116,4
0,18,0,3
1,18,221,1
2,18,42,4
3,18,222,5
4,18,16,2
5,18,4443,1
0,19,1342,2
1,19,518,3
2,19,147,5
3,19,887,5
4,19,3,5
5,19,0,2
6,19,3006,1
7,19,158,4
8,19,903,5
0,20,18,3
1,20,0,1
2,20,34,2
3,20,1,3
4,20,143,3
5,20,84,5
6,20,17,5
7,20,1799,2
8,20,2294,3
9,20,426,5
10,20,49,4
11,20,160,1
12,20,1671,2
13,20,4914,3
0,21,1,4
1,21,0,2
2,21,2820,5
3,21,86,1
4,21,6,1
5,21,22,2
6,21,5,4
7,21,195,5
8,21,12,1
0,22,0,2
1,22,3,1
2,22,2361,4
0,23,28,3
1,23,0,1
2,23,3010,1
3,23,1,1
4,23,38,1
0,24,701,2
1,24,197,1
2,24,0,1
3,24,254,2
4,24,787,4
5,24,959,4
6,24,2,1
7,24,4292,1
8,24,129,2
9,24,816,5
10,24,37,1
11,24,929,3
12,24,8,1
13,24,1377,1
14,24,59,3
15,24,19,4
16,24,14,5
0,25,0,5
1,25,49,5
2,25,867,5
3,25,397,3
4,25,148,2
5,25,3757,5
6,25,1,1
7,25,1229,2
8,25,1872,1
9,25,120,5
10,25,155,5
11,25,33,5
12,25,2,2
13,25,115,1
14,25,16,1
15,25,6,4
0,26,0,3
1,26,7,3
2,26,74,1
3,26,707,2
4,26,246,5
5,26,248,2
6,26,83,2
7,26,53,4
8,26,105,5
9,26,5,5
10,26,1113,4
11,26,185,2
12,26,23,5
13,26,581,5
14,26,487,3
15,26,6,2
0,27,0,2
1,27,181,5
2,27,271,2
3,27,11,5
4,27,2911,5
5,27,86,3
6,27,1451,3
7,27,10,3
8,27,667,1
9,27,1619,2
10,27,1,1
11,27,405,3
0,28,38,4
1,28,0,1
2,28,41,3
3,28,2570,1
4,28,125,3
0,29,263,1
1,29,364,5
2,29,1010,4
3,29,3565,3
4,29,0,4
5,29,9,5
6,29,55,5
7,29,4817,1
0,30,86,4
1,30,4610,3
2,30,2122,4
3,30,1542,1
4,30,0,4
5,30,207,4
6,30,3514,2
7,30,1364,3
8,30,1179,2
9,30,18,5
10,30,87,5
0,31,77,2
1,31,0,1
2,31,140,4
3,31,1,5
4,31,2224,2
5,31,1433,5
6,31,199,2
7,31,3,3
8,31,189,4
9,31,154,2
10,31,835,5
11,31,623,4
12,31,4,3
13,31,108,4
0,32,115,4
1,32,0,1
2,32,23,5
3,32,179,1
4,32,4444,3
5,32,489,2
6,32,182,1
7,32,51,3
8,32,1,4
9,32,208,5
10,32,446,4
11,32,20,2
12,32,25,2
13,32,1082,5
14,32,475,3
15,32,1293,1
16,32,662,5
17,32,2,5
18,32,3,2
0,33,1809,1
1,33,0,5
2,33,1,3
0,34,457,2
1,34,3,5
2,34,0,2
3,34,8,3
4,34,403,5
5,34,44,1
6,34,206,4
7,34,53,3
8,34,1530,2
9,34,683,1
10,34,1912,5
11,34,126,4
12,34,22,3
0,35,32,3
1,35,25,4
2,35,0,4
3,35,2889,1
4,35,535,3
5,35,54,4
6,35,174,1
7,35,230,5
8,35,798,3
9,35,64,5
0,36,0,5
1,36,216,2
2,36,28,5
3,36,412,4
4,36,76,1
5,36,18,2
6,36,153,3
7,36,218,3
8,36,495,1
9,36,1296,2
0,37,4605,1
1,37,262,4
2,37,32,2
3,37,67,4
4,37,1486,5
5,37,0,5
6,37,5,1
7,37,9,2
8,37,19,1
9,37,89,2
10,37,1835,2
11,37,53,3
12,37,494,1
13,37,1464,5
14,37,7,1
15,37,831,5
16,37,1,1
17,37,2813,3
0,38,61,3
1,38,0,4
2,38,292,4
3,38,1520,2
4,38,821,3
0,39,4915,5
1,39,0,1
2,39,3546,5
3,39,506,2
4,39,2794,5
5,39,59,5
6,39,1,2
7,39,125,3
8,39,139,4
9,39,980,1
10,39,2022,4
11,39,8,3
12,39,160,2
13,39,3884,5
14,39,3,1
15,39,21,5
16,39,2295,3
17,39,159,4
0,40,1328,4
1,40,996,4
2,40,0,1
3,40,4,2
4,40,3,5
5,40,33,2
6,40,100,2
7,40,298,4
8,40,3553,2
9,40,2012,3
10,40,3535,4
11,40,385,2
12,40,3537,3
13,40,1850,1
14,40,1066,2
15,40,161,3
0,41,1,3
1,41,9,2
2,41,34,4
3,41,0,2
4,41,20,4
5,41,855,3
6,41,2046,4
